valid_time	latitude	longitude	tcc
1483228800	32.42	72.17	0.0
1483228800	32.42	72.42	0.0
1483228800	32.42	72.67	2.746582E-4
1483228800	32.17	72.17	0.0
1483228800	32.17	72.42	7.6293945E-6
1483228800	32.17	72.67	0.23314667
1483228800	31.92	72.17	0.0033569336
1483228800	31.92	72.42	0.018806458
1483228800	31.92	72.67	0.25284576
1483232400	32.42	72.17	0.0
1483232400	32.42	72.42	9.880066E-4
1483232400	32.42	72.67	0.0012664795
1483232400	32.17	72.17	0.0
1483232400	32.17	72.42	0.0020942688
1483232400	32.17	72.67	0.23626328
1483232400	31.92	72.17	1.1444092E-5
1483232400	31.92	72.42	0.005306244
1483232400	31.92	72.67	0.23959732
1483236000	32.42	72.17	0.0
1483236000	32.42	72.42	0.0
1483236000	32.42	72.67	0.001625061
1483236000	32.17	72.17	0.0013275146
1483236000	32.17	72.42	0.0013427734
1483236000	32.17	72.67	0.23986053
1483236000	31.92	72.17	0.0028305054
1483236000	31.92	72.42	0.016403198
1483236000	31.92	72.67	0.25582886
1483239600	32.42	72.17	0.0
1483239600	32.42	72.42	0.0019607544
1483239600	32.42	72.67	0.002243042
1483239600	32.17	72.17	0.0
1483239600	32.17	72.42	0.0042037964
1483239600	32.17	72.67	0.25295258
1483239600	31.92	72.17	7.6293945E-6
1483239600	31.92	72.42	0.03315735
1483239600	31.92	72.67	0.28368378
1483243200	32.42	72.17	6.074595E-6
1483243200	32.42	72.42	0.008276339
1483243200	32.42	72.67	0.011019106
1483243200	32.17	72.17	0.0104964925
1483243200	32.17	72.42	0.02544629
1483243200	32.17	72.67	0.08872067
1483243200	31.92	72.17	0.023321504
1483243200	31.92	72.42	0.0883392
1483243200	31.92	72.67	0.1530937
1483246800	32.42	72.17	1.2124296E-5
1483246800	32.42	72.42	0.005634988
1483246800	32.42	72.67	0.015469277
1483246800	32.17	72.17	0.010346139
1483246800	32.17	72.42	0.012734139
1483246800	32.17	72.67	0.044934
1483246800	31.92	72.17	0.0140425805
1483246800	31.92	72.42	0.09109565
1483246800	31.92	72.67	0.12676689
1483250400	32.42	72.17	6.074595E-6
1483250400	32.42	72.42	0.0052245804
1483250400	32.42	72.67	0.019996995
1483250400	32.17	72.17	0.007835741
1483250400	32.17	72.42	0.012001391
1483250400	32.17	72.67	0.035284396
1483250400	31.92	72.17	0.017700547
1483250400	31.92	72.42	0.07255208
1483250400	31.92	72.67	0.09775006
1483254000	32.42	72.17	0.010963108
1483254000	32.42	72.42	0.023423817
1483254000	32.42	72.67	0.050767567
1483254000	32.17	72.17	0.02411237
1483254000	32.17	72.42	0.032210972
1483254000	32.17	72.67	0.04766431
1483254000	31.92	72.17	0.04504552
1483254000	31.92	72.42	0.103645
1483254000	31.92	72.67	0.12071386
1483257600	32.42	72.17	0.20071512
1483257600	32.42	72.42	0.2169314
1483257600	32.42	72.67	0.17543131
1483257600	32.17	72.17	0.11409098
1483257600	32.17	72.42	0.14482981
1483257600	32.17	72.67	0.15009028
1483257600	31.92	72.17	0.11655146
1483257600	31.92	72.42	0.23683268
1483257600	31.92	72.67	0.24593455
1483261200	32.42	72.17	0.23482871
1483261200	32.42	72.42	0.14415336
1483261200	32.42	72.67	0.09290671
1483261200	32.17	72.17	0.23839927
1483261200	32.17	72.42	0.15743613
1483261200	32.17	72.67	0.14099479
1483261200	31.92	72.17	0.2986257
1483261200	31.92	72.42	0.3788793
1483261200	31.92	72.67	0.35729575
1483264800	32.42	72.17	0.08213593
1483264800	32.42	72.42	0.08177735
1483264800	32.42	72.67	0.10771729
1483264800	32.17	72.17	0.043744814
1483264800	32.17	72.42	0.0468042
1483264800	32.17	72.67	0.10846497
1483264800	31.92	72.17	0.048009645
1483264800	31.92	72.42	0.22878815
1483264800	31.92	72.67	0.29553008
1483268400	32.42	72.17	0.07010935
1483268400	32.42	72.42	0.090804085
1483268400	32.42	72.67	0.16170405
1483268400	32.17	72.17	0.038920384
1483268400	32.17	72.42	0.053076725
1483268400	32.17	72.67	0.102660164
1483268400	31.92	72.17	0.024516087
1483268400	31.92	72.42	0.20452021
1483268400	31.92	72.67	0.25755975
1483272000	32.42	72.17	0.05212894
1483272000	32.42	72.42	0.04742351
1483272000	32.42	72.67	0.04411617
1483272000	32.17	72.17	0.047671467
1483272000	32.17	72.42	0.04192844
1483272000	32.17	72.67	0.07619396
1483272000	31.92	72.17	0.04024616
1483272000	31.92	72.42	0.10246578
1483272000	31.92	72.67	0.14076915
1483275600	32.42	72.17	0.040325526
1483275600	32.42	72.42	0.04202688
1483275600	32.42	72.67	0.0478195
1483275600	32.17	72.17	0.034340266
1483275600	32.17	72.42	0.033895854
1483275600	32.17	72.67	0.06831205
1483275600	31.92	72.17	0.023977641
1483275600	31.92	72.42	0.08213651
1483275600	31.92	72.67	0.12031591
1483279200	32.42	72.17	0.031289496
1483279200	32.42	72.42	0.03789846
1483279200	32.42	72.67	0.043197073
1483279200	32.17	72.17	0.04047624
1483279200	32.17	72.42	0.04491941
1483279200	32.17	72.67	0.050801672
1483279200	31.92	72.17	0.05309812
1483279200	31.92	72.42	0.08127824
1483279200	31.92	72.67	0.08825437
1483282800	32.42	72.17	0.013259575
1483282800	32.42	72.42	0.025605842
1483282800	32.42	72.67	0.04130046
1483282800	32.17	72.17	0.006143257
1483282800	32.17	72.42	0.0152193755
1483282800	32.17	72.67	0.033847496
1483282800	31.92	72.17	0.009006187
1483282800	31.92	72.42	0.0415961
1483282800	31.92	72.67	0.061542198
1483286400	32.42	72.17	0.0043359967
1483286400	32.42	72.42	0.009751913
1483286400	32.42	72.67	0.015484449
1483286400	32.17	72.17	0.0014606684
1483286400	32.17	72.42	0.0069128247
1483286400	32.17	72.67	0.020488378
1483286400	31.92	72.17	0.009508726
1483286400	31.92	72.42	0.02677023
1483286400	31.92	72.67	0.04141104
1483290000	32.42	72.17	0.008630609
1483290000	32.42	72.42	0.009012079
1483290000	32.42	72.67	0.01032505
1483290000	32.17	72.17	2.6330887E-4
1483290000	32.17	72.42	0.0017517561
1483290000	32.17	72.67	0.0081420895
1483290000	31.92	72.17	0.0033336633
1483290000	31.92	72.42	0.007643318
1483290000	31.92	72.67	0.0145665165
1483293600	32.42	72.17	0.008277655
1483293600	32.42	72.42	0.007048607
1483293600	32.42	72.67	0.0
1483293600	32.17	72.17	1.3160706E-4
1483293600	32.17	72.42	0.0
1483293600	32.17	72.67	0.0
1483293600	31.92	72.17	0.0016765594
1483293600	31.92	72.42	0.0
1483293600	31.92	72.67	2.861023E-6
1483297200	32.42	72.17	0.0039623976
1483297200	32.42	72.42	0.0039623976
1483297200	32.42	72.67	0.001970768
1483297200	32.17	72.17	0.0
1483297200	32.17	72.42	0.0
1483297200	32.17	72.67	0.0
1483297200	31.92	72.17	0.0
1483297200	31.92	72.42	5.57065E-4
1483297200	31.92	72.67	5.6397915E-4
1483300800	32.42	72.17	0.0
1483300800	32.42	72.42	0.0056791306
1483300800	32.42	72.67	0.0105621815
1483300800	32.17	72.17	0.0
1483300800	32.17	72.42	0.0034852028
1483300800	32.17	72.67	0.0034852028
1483300800	31.92	72.17	0.0
1483300800	31.92	72.42	0.0
1483300800	31.92	72.67	2.861023E-6
1483304400	32.42	72.17	0.0043361187
1483304400	32.42	72.42	0.0059355497
1483304400	32.42	72.67	0.0052810907
1483304400	32.17	72.17	1.3160706E-4
1483304400	32.17	72.42	0.0017426014
1483304400	32.17	72.67	0.0017426014
1483304400	31.92	72.17	0.0
1483304400	31.92	72.42	0.0
1483304400	31.92	72.67	0.0
1483308000	32.42	72.17	0.0
1483308000	32.42	72.42	0.0
1483308000	32.42	72.67	9.95636E-4
1483308000	32.17	72.17	0.0
1483308000	32.17	72.42	7.6293945E-6
1483308000	32.17	72.67	0.004055023
1483308000	31.92	72.17	4.005432E-4
1483308000	31.92	72.42	0.13998795
1483308000	31.92	72.67	0.14422607
1483311600	32.42	72.17	0.0029678345
1483311600	32.42	72.42	0.0029678345
1483311600	32.42	72.67	0.0029678345
1483311600	32.17	72.17	0.0
1483311600	32.17	72.42	3.8146973E-6
1483311600	32.17	72.67	0.0020332336
1483311600	31.92	72.17	4.196167E-4
1483311600	31.92	72.42	0.17081451
1483311600	31.92	72.67	0.17310715
1483315200	32.42	72.17	0.0039604413
1483315200	32.42	72.42	0.0039604413
1483315200	32.42	72.67	8.414809E-6
1483315200	32.17	72.17	0.0013359295
1483315200	32.17	72.42	0.0017784344
1483315200	32.17	72.67	0.20584948
1483315200	31.92	72.17	0.008248161
1483315200	31.92	72.42	0.5167168
1483315200	31.92	72.67	0.7463005
1483318800	32.42	72.17	0.077353984
1483318800	32.42	72.42	0.08382371
1483318800	32.42	72.67	0.047767192
1483318800	32.17	72.17	0.01087144
1483318800	32.17	72.42	0.028861552
1483318800	32.17	72.67	0.22609666
1483318800	31.92	72.17	0.0148997605
1483318800	31.92	72.42	0.5287852
1483318800	31.92	72.67	0.75153303
1483322400	32.42	72.17	0.039124418
1483322400	32.42	72.42	0.11953823
1483322400	32.42	72.67	0.12143032
1483322400	32.17	72.17	0.13914578
1483322400	32.17	72.42	0.2683267
1483322400	32.17	72.67	0.5903482
1483322400	31.92	72.17	0.4522714
1483322400	31.92	72.42	0.6834268
1483322400	31.92	72.67	0.9928445
1483326000	32.42	72.17	0.07681334
1483326000	32.42	72.42	0.17094481
1483326000	32.42	72.67	0.16159117
1483326000	32.17	72.17	0.20344603
1483326000	32.17	72.42	0.40577757
1483326000	32.17	72.67	0.7061926
1483326000	31.92	72.17	0.6203619
1483326000	31.92	72.42	0.7244116
1483326000	31.92	72.67	1.0000006
1483329600	32.42	72.17	0.5818004
1483329600	32.42	72.42	0.39771837
1483329600	32.42	72.67	0.20413011
1483329600	32.17	72.17	0.6420421
1483329600	32.17	72.42	0.5624065
1483329600	32.17	72.67	0.7520427
1483329600	31.92	72.17	0.7803325
1483329600	31.92	72.42	0.8265819
1483329600	31.92	72.67	0.99999803
1483333200	32.42	72.17	0.45025855
1483333200	32.42	72.42	0.4956687
1483333200	32.42	72.67	0.42193824
1483333200	32.17	72.17	0.3519767
1483333200	32.17	72.42	0.41757423
1483333200	32.17	72.67	0.57152015
1483333200	31.92	72.17	0.49255592
1483333200	31.92	72.42	0.6973594
1483333200	31.92	72.67	0.8637565
1483336800	32.42	72.17	0.053814128
1483336800	32.42	72.42	0.11784382
1483336800	32.42	72.67	0.19141407
1483336800	32.17	72.17	0.044765666
1483336800	32.17	72.42	0.094505504
1483336800	32.17	72.67	0.096115306
1483336800	31.92	72.17	0.13292332
1483336800	31.92	72.42	0.13443775
1483336800	31.92	72.67	0.13464756
1483340400	32.42	72.17	0.090416044
1483340400	32.42	72.42	0.09417543
1483340400	32.42	72.67	0.094810575
1483340400	32.17	72.17	0.046321962
1483340400	32.17	72.42	0.04789171
1483340400	32.17	72.67	0.059368227
1483340400	31.92	72.17	0.023311708
1483340400	31.92	72.42	0.01704416
1483340400	31.92	72.67	0.028833482
1483344000	32.42	72.17	0.28149748
1483344000	32.42	72.42	0.21322203
1483344000	32.42	72.67	0.13489866
1483344000	32.17	72.17	0.15115309
1483344000	32.17	72.42	0.11579466
1483344000	32.17	72.67	0.12089872
1483344000	31.92	72.17	0.27814817
1483344000	31.92	72.42	0.16854048
1483344000	31.92	72.67	0.16977262
1483347600	32.42	72.17	0.2746361
1483347600	32.42	72.42	0.21998674
1483347600	32.42	72.67	0.15004808
1483347600	32.17	72.17	0.23943788
1483347600	32.17	72.42	0.22212678
1483347600	32.17	72.67	0.20309144
1483347600	31.92	72.17	0.37891084
1483347600	31.92	72.42	0.29314882
1483347600	31.92	72.67	0.26966554
1483351200	32.42	72.17	0.4953652
1483351200	32.42	72.42	0.30276877
1483351200	32.42	72.67	0.29110342
1483351200	32.17	72.17	0.50960165
1483351200	32.17	72.42	0.34049612
1483351200	32.17	72.67	0.268467
1483351200	31.92	72.17	0.68038565
1483351200	31.92	72.42	0.46292502
1483351200	31.92	72.67	0.36988455
1483354800	32.42	72.17	0.92072326
1483354800	32.42	72.42	0.8764995
1483354800	32.42	72.67	0.7901767
1483354800	32.17	72.17	0.9033206
1483354800	32.17	72.42	0.8568347
1483354800	32.17	72.67	0.70503265
1483354800	31.92	72.17	0.87745315
1483354800	31.92	72.42	0.8513072
1483354800	31.92	72.67	0.69945556
1483358400	32.42	72.17	0.91639173
1483358400	32.42	72.42	0.93334234
1483358400	32.42	72.67	0.949015
1483358400	32.17	72.17	0.87751997
1483358400	32.17	72.42	0.8978313
1483358400	32.17	72.67	0.9292797
1483358400	31.92	72.17	0.829018
1483358400	31.92	72.42	0.87279546
1483358400	31.92	72.67	0.90380704
1483362000	32.42	72.17	0.79229194
1483362000	32.42	72.42	0.8867133
1483362000	32.42	72.67	0.9236396
1483362000	32.17	72.17	0.6670478
1483362000	32.17	72.42	0.77051765
1483362000	32.17	72.67	0.85354835
1483362000	31.92	72.17	0.6319755
1483362000	31.92	72.42	0.70701057
1483362000	31.92	72.67	0.78972846
1483365600	32.42	72.17	0.8337268
1483365600	32.42	72.42	0.9149112
1483365600	32.42	72.67	0.9434299
1483365600	32.17	72.17	0.7102069
1483365600	32.17	72.42	0.79599947
1483365600	32.17	72.67	0.8507175
1483365600	31.92	72.17	0.6548404
1483365600	31.92	72.42	0.6335315
1483365600	31.92	72.67	0.6893558
1483369200	32.42	72.17	0.94975704
1483369200	32.42	72.42	0.9562134
1483369200	32.42	72.67	0.9643654
1483369200	32.17	72.17	0.95043796
1483369200	32.17	72.42	0.942656
1483369200	32.17	72.67	0.9564194
1483369200	31.92	72.17	0.89678425
1483369200	31.92	72.42	0.9409012
1483369200	31.92	72.67	0.9616093
1483372800	32.42	72.17	0.96617645
1483372800	32.42	72.42	0.9839911
1483372800	32.42	72.67	0.9933104
1483372800	32.17	72.17	0.9597067
1483372800	32.17	72.42	0.9731745
1483372800	32.17	72.67	0.97411865
1483372800	31.92	72.17	0.8770098
1483372800	31.92	72.42	0.930036
1483372800	31.92	72.67	0.93129677
1483376400	32.42	72.17	0.74759823
1483376400	32.42	72.42	0.7860542
1483376400	32.42	72.67	0.83466107
1483376400	32.17	72.17	0.63023525
1483376400	32.17	72.42	0.6852737
1483376400	32.17	72.67	0.7775894
1483376400	31.92	72.17	0.6223121
1483376400	31.92	72.42	0.6472488
1483376400	31.92	72.67	0.7359138
1483380000	32.42	72.17	0.83794576
1483380000	32.42	72.42	0.78928167
1483380000	32.42	72.67	0.7988718
1483380000	32.17	72.17	0.8616846
1483380000	32.17	72.42	0.80184346
1483380000	32.17	72.67	0.7230738
1483380000	31.92	72.17	0.8991869
1483380000	31.92	72.42	0.8331316
1483380000	31.92	72.67	0.7538622
1483383600	32.42	72.17	0.9200499
1483383600	32.42	72.42	0.9083674
1483383600	32.42	72.67	0.92291284
1483383600	32.17	72.17	0.96481156
1483383600	32.17	72.42	0.9508841
1483383600	32.17	72.67	0.93304276
1483383600	31.92	72.17	0.975199
1483383600	31.92	72.42	0.9653666
1483383600	31.92	72.67	0.9474776
1483387200	32.42	72.17	0.89078784
1483387200	32.42	72.42	0.8975246
1483387200	32.42	72.67	0.9200809
1483387200	32.17	72.17	0.97210956
1483387200	32.17	72.42	0.9722488
1483387200	32.17	72.67	0.951123
1483387200	31.92	72.17	0.98832774
1483387200	31.92	72.42	0.9861934
1483387200	31.92	72.67	0.9650276
1483390800	32.42	72.17	0.83584714
1483390800	32.42	72.42	0.8932774
1483390800	32.42	72.67	0.9007199
1483390800	32.17	72.17	0.872041
1483390800	32.17	72.42	0.92085767
1483390800	32.17	72.67	0.911607
1483390800	31.92	72.17	0.7896588
1483390800	31.92	72.42	0.84732175
1483390800	31.92	72.67	0.8410084
1483394400	32.42	72.17	0.6500535
1483394400	32.42	72.42	0.72611094
1483394400	32.42	72.67	0.8147683
1483394400	32.17	72.17	0.66968775
1483394400	32.17	72.42	0.74812174
1483394400	32.17	72.67	0.8291459
1483394400	31.92	72.17	0.65317774
1483394400	31.92	72.42	0.75482416
1483394400	31.92	72.67	0.8339791
1483398000	32.42	72.17	0.6026431
1483398000	32.42	72.42	0.611806
1483398000	32.42	72.67	0.67772776
1483398000	32.17	72.17	0.5167971
1483398000	32.17	72.42	0.5380717
1483398000	32.17	72.67	0.6171885
1483398000	31.92	72.17	0.47683054
1483398000	31.92	72.42	0.49739558
1483398000	31.92	72.67	0.5725985
1483401600	32.42	72.17	0.5314165
1483401600	32.42	72.42	0.50732094
1483401600	32.42	72.67	0.54215676
1483401600	32.17	72.17	0.49984604
1483401600	32.17	72.42	0.48339325
1483401600	32.17	72.67	0.54305893
1483401600	31.92	72.17	0.4607454
1483401600	31.92	72.42	0.48547226
1483401600	31.92	72.67	0.54340225
1483405200	32.42	72.17	0.5138613
1483405200	32.42	72.42	0.55846655
1483405200	32.42	72.67	0.5973078
1483405200	32.17	72.17	0.51359046
1483405200	32.17	72.42	0.5703913
1483405200	32.17	72.67	0.6417681
1483405200	31.92	72.17	0.45970023
1483405200	31.92	72.42	0.4993502
1483405200	31.92	72.67	0.5670115
1483408800	32.42	72.17	0.37462938
1483408800	32.42	72.42	0.42637765
1483408800	32.42	72.67	0.4576124
1483408800	32.17	72.17	0.369676
1483408800	32.17	72.42	0.41383302
1483408800	32.17	72.67	0.4649099
1483408800	31.92	72.17	0.39442956
1483408800	31.92	72.42	0.3738054
1483408800	31.92	72.67	0.42686784
1483412400	32.42	72.17	0.40550655
1483412400	32.42	72.42	0.43846172
1483412400	32.42	72.67	0.48279232
1483412400	32.17	72.17	0.39447445
1483412400	32.17	72.42	0.435162
1483412400	32.17	72.67	0.5052456
1483412400	31.92	72.17	0.48350948
1483412400	31.92	72.42	0.48745388
1483412400	31.92	72.67	0.5551457
1483416000	32.42	72.17	0.5299817
1483416000	32.42	72.42	0.49338347
1483416000	32.42	72.67	0.5160046
1483416000	32.17	72.17	0.5909367
1483416000	32.17	72.42	0.5299817
1483416000	32.17	72.67	0.49506956
1483416000	31.92	72.17	0.63091856
1483416000	31.92	72.42	0.5957547
1483416000	31.92	72.67	0.5637608
1483419600	32.42	72.17	0.61073464
1483419600	32.42	72.42	0.58001775
1483419600	32.42	72.67	0.5570428
1483419600	32.17	72.17	0.57969445
1483419600	32.17	72.42	0.5522372
1483419600	32.17	72.67	0.55868214
1483419600	31.92	72.17	0.5613496
1483419600	31.92	72.42	0.5654132
1483419600	31.92	72.67	0.5713393
1483423200	32.42	72.17	0.6186163
1483423200	32.42	72.42	0.6173975
1483423200	32.42	72.67	0.5755846
1483423200	32.17	72.17	0.59579486
1483423200	32.17	72.42	0.5979406
1483423200	32.17	72.67	0.6248285
1483423200	31.92	72.17	0.6273634
1483423200	31.92	72.42	0.6685297
1483423200	31.92	72.67	0.6972982
1483426800	32.42	72.17	0.6772937
1483426800	32.42	72.42	0.64088625
1483426800	32.42	72.67	0.583765
1483426800	32.17	72.17	0.78558534
1483426800	32.17	72.42	0.7513942
1483426800	32.17	72.67	0.7282314
1483426800	31.92	72.17	0.7443828
1483426800	31.92	72.42	0.80074495
