valid_time	latitude	longitude	tcc
1672531200	32.42	72.17	0.91885126
1672531200	32.42	72.42	0.90475404
1672531200	32.42	72.67	0.8820089
1672531200	32.17	72.17	0.89068544
1672531200	32.17	72.42	0.8798708
1672531200	32.17	72.67	0.8821939
1672531200	31.92	72.17	0.7938818
1672531200	31.92	72.42	0.8066114
1672531200	31.92	72.67	0.8090185
1672534800	32.42	72.17	0.88719606
1672534800	32.42	72.42	0.87506914
1672534800	32.42	72.67	0.8781285
1672534800	32.17	72.17	0.9336057
1672534800	32.17	72.42	0.91924715
1672534800	32.17	72.67	0.91335535
1672534800	31.92	72.17	0.84293795
1672534800	31.92	72.42	0.8406491
1672534800	31.92	72.67	0.8354783
1672538400	32.42	72.17	0.895187
1672538400	32.42	72.42	0.8895165
1672538400	32.42	72.67	0.873037
1672538400	32.17	72.17	0.9533211
1672538400	32.17	72.42	0.94983256
1672538400	32.17	72.67	0.94375765
1672538400	31.92	72.17	0.9607922
1672538400	31.92	72.42	0.93376124
1672538400	31.92	72.67	0.9268013
1672542000	32.42	72.17	0.34706378
1672542000	32.42	72.42	0.4735744
1672542000	32.42	72.67	0.6710994
1672542000	32.17	72.17	0.8080776
1672542000	32.17	72.42	0.88951373
1672542000	32.17	72.67	0.8950069
1672542000	31.92	72.17	0.97918963
1672542000	31.92	72.42	0.98196673
1672542000	31.92	72.67	0.9869411
1672545600	32.42	72.17	0.27964425
1672545600	32.42	72.42	0.31119943
1672545600	32.42	72.67	0.293545
1672545600	32.17	72.17	0.4780848
1672545600	32.17	72.42	0.53297067
1672545600	32.17	72.67	0.61884713
1672545600	31.92	72.17	0.8219569
1672545600	31.92	72.42	0.8456385
1672545600	31.92	72.67	0.9290736
1672549200	32.42	72.17	0.24342662
1672549200	32.42	72.42	0.3050111
1672549200	32.42	72.67	0.3996995
1672549200	32.17	72.17	0.30660564
1672549200	32.17	72.42	0.36505443
1672549200	32.17	72.67	0.47685558
1672549200	31.92	72.17	0.4848283
1672549200	31.92	72.42	0.6245149
1672549200	31.92	72.67	0.7393907
1672552800	32.42	72.17	0.3745877
1672552800	32.42	72.42	0.42758912
1672552800	32.42	72.67	0.4913022
1672552800	32.17	72.17	0.41419953
1672552800	32.17	72.42	0.45749635
1672552800	32.17	72.67	0.55578583
1672552800	31.92	72.17	0.43243378
1672552800	31.92	72.42	0.5873639
1672552800	31.92	72.67	0.69239014
1672556400	32.42	72.17	0.32783425
1672556400	32.42	72.42	0.45590127
1672556400	32.42	72.67	0.6118766
1672556400	32.17	72.17	0.33439553
1672556400	32.17	72.42	0.47046578
1672556400	32.17	72.67	0.630355
1672556400	31.92	72.17	0.33370125
1672556400	31.92	72.42	0.49416268
1672556400	31.92	72.67	0.65421975
1672560000	32.42	72.17	0.21743333
1672560000	32.42	72.42	0.36009538
1672560000	32.42	72.67	0.50946367
1672560000	32.17	72.17	0.1664766
1672560000	32.17	72.42	0.3127321
1672560000	32.17	72.67	0.48083818
1672560000	31.92	72.17	0.16113603
1672560000	31.92	72.42	0.2700075
1672560000	31.92	72.67	0.43901384
1672563600	32.42	72.17	0.06770444
1672563600	32.42	72.42	0.1546719
1672563600	32.42	72.67	0.26605725
1672563600	32.17	72.17	0.070916414
1672563600	32.17	72.42	0.1602757
1672563600	32.17	72.67	0.27205014
1672563600	31.92	72.17	0.08570981
1672563600	31.92	72.42	0.17139554
1672563600	31.92	72.67	0.2829373
1672567200	32.42	72.17	3.0348077E-5
1672567200	32.42	72.42	0.023159811
1672567200	32.42	72.67	0.05556757
1672567200	32.17	72.17	0.02189524
1672567200	32.17	72.42	0.03625471
1672567200	32.17	72.67	0.030820677
1672567200	31.92	72.17	0.018093893
1672567200	31.92	72.42	0.03334696
1672567200	31.92	72.67	0.02945597
1672570800	32.42	72.17	0.0
1672570800	32.42	72.42	0.0
1672570800	32.42	72.67	0.0
1672570800	32.17	72.17	0.0
1672570800	32.17	72.42	0.0
1672570800	32.17	72.67	0.0
1672570800	31.92	72.17	0.0
1672570800	31.92	72.42	0.0
1672570800	31.92	72.67	0.0
1672574400	32.42	72.17	0.0
1672574400	32.42	72.42	0.0
1672574400	32.42	72.67	0.0
1672574400	32.17	72.17	0.0
1672574400	32.17	72.42	0.0
1672574400	32.17	72.67	0.0
1672574400	31.92	72.17	0.0
1672574400	31.92	72.42	0.0
1672574400	31.92	72.67	0.0
1672578000	32.42	72.17	0.0
1672578000	32.42	72.42	0.0
1672578000	32.42	72.67	0.0
1672578000	32.17	72.17	0.0
1672578000	32.17	72.42	0.0
1672578000	32.17	72.67	0.0
1672578000	31.92	72.17	0.0
1672578000	31.92	72.42	0.0
1672578000	31.92	72.67	0.0
1672581600	32.42	72.17	0.0
1672581600	32.42	72.42	0.0
1672581600	32.42	72.67	0.0
1672581600	32.17	72.17	0.0
1672581600	32.17	72.42	0.0
1672581600	32.17	72.67	0.0
1672581600	31.92	72.17	0.0
1672581600	31.92	72.42	0.0
1672581600	31.92	72.67	0.0
1672585200	32.42	72.17	0.0
1672585200	32.42	72.42	0.0
1672585200	32.42	72.67	0.0
1672585200	32.17	72.17	0.0
1672585200	32.17	72.42	0.0
1672585200	32.17	72.67	0.0
1672585200	31.92	72.17	0.0
1672585200	31.92	72.42	0.0
1672585200	31.92	72.67	0.0
1672588800	32.42	72.17	0.0
1672588800	32.42	72.42	0.0
1672588800	32.42	72.67	0.0
1672588800	32.17	72.17	0.0
1672588800	32.17	72.42	0.0
1672588800	32.17	72.67	0.0
1672588800	31.92	72.17	0.0
1672588800	31.92	72.42	0.0
1672588800	31.92	72.67	0.0
1672592400	32.42	72.17	0.0
1672592400	32.42	72.42	0.0
1672592400	32.42	72.67	0.0
1672592400	32.17	72.17	0.0
1672592400	32.17	72.42	0.0
1672592400	32.17	72.67	0.0
1672592400	31.92	72.17	0.0
1672592400	31.92	72.42	0.0
1672592400	31.92	72.67	0.0
1672596000	32.42	72.17	0.0
1672596000	32.42	72.42	0.0
1672596000	32.42	72.67	0.0
1672596000	32.17	72.17	0.0
1672596000	32.17	72.42	0.0
1672596000	32.17	72.67	0.0
1672596000	31.92	72.17	0.0
1672596000	31.92	72.42	0.0
1672596000	31.92	72.67	0.0
1672599600	32.42	72.17	0.0
1672599600	32.42	72.42	0.0
1672599600	32.42	72.67	0.0
1672599600	32.17	72.17	0.0
1672599600	32.17	72.42	0.0
1672599600	32.17	72.67	0.0
1672599600	31.92	72.17	0.0
1672599600	31.92	72.42	0.0
1672599600	31.92	72.67	0.0
1672603200	32.42	72.17	0.0
1672603200	32.42	72.42	0.0
1672603200	32.42	72.67	0.0
1672603200	32.17	72.17	0.0
1672603200	32.17	72.42	0.0
1672603200	32.17	72.67	0.0
1672603200	31.92	72.17	0.0
1672603200	31.92	72.42	0.0
1672603200	31.92	72.67	0.0
1672606800	32.42	72.17	0.0
1672606800	32.42	72.42	0.0
1672606800	32.42	72.67	0.0
1672606800	32.17	72.17	0.0
1672606800	32.17	72.42	0.0
1672606800	32.17	72.67	0.0
1672606800	31.92	72.17	0.0
1672606800	31.92	72.42	0.0
1672606800	31.92	72.67	0.0
1672610400	32.42	72.17	0.0
1672610400	32.42	72.42	0.0
1672610400	32.42	72.67	0.0
1672610400	32.17	72.17	0.0
1672610400	32.17	72.42	0.0
1672610400	32.17	72.67	0.0
1672610400	31.92	72.17	0.0
1672610400	31.92	72.42	0.0
1672610400	31.92	72.67	0.0
1672614000	32.42	72.17	0.0
1672614000	32.42	72.42	0.0
1672614000	32.42	72.67	2.8014183E-6
1672614000	32.17	72.17	0.0
1672614000	32.17	72.42	0.0
1672614000	32.17	72.67	0.0023440123
1672614000	31.92	72.17	0.0
1672614000	31.92	72.42	0.0
1672614000	31.92	72.67	0.0023442507
1672617600	32.42	72.17	0.0
1672617600	32.42	72.42	0.0
1672617600	32.42	72.67	5.6028366E-6
1672617600	32.17	72.17	0.0
1672617600	32.17	72.42	0.0
1672617600	32.17	72.67	0.0046770573
1672617600	31.92	72.17	0.0
1672617600	31.92	72.42	0.0
1672617600	31.92	72.67	0.0046885014
1672621200	32.42	72.17	0.0
1672621200	32.42	72.42	0.0
